name,attribute,species,f_skill,s_skill,maxhp2,maxatk2,minhp,minatk,maxhp1,maxatk1,pre_f_skill,pre_s_skill,f_skill_effect,s_skill_effect,pre_f_skill_effect,pre_s_skill_effect
ウコンバサラ,光,斧,天光の攻刃,魔女の結界,217,2980,31,425,186,2550,天光の攻刃,,光属性キャラの攻撃力上昇(大),メイン武器として装備時、弱体効果耐性UP,光属性キャラの攻撃力上昇(大),
ピラム,火,槍,紅蓮の攻刃,鷲王の結界,291,2610,40,380,249,2240,紅蓮の攻刃,,火属性キャラの攻撃力上昇(大),主人公のみダブルアタック確率上昇(特大),火属性キャラの攻撃力上昇(大),
氷晶杖,水,杖,氷晶宮の加護,水の攻刃,326,2520,48,340,280,2080,霧氷の守護,水の攻刃,水属性キャラのHP上昇(大)/水属性キャラの火属性ダメージ軽減◆HP上昇効果は「霧氷の守護」として扱う,水属性キャラの攻撃力上昇(小),水属性キャラの最大HP上昇(大),水属性キャラの攻撃力上昇(小)
閃刃の剣斧,風,斧,乱気の守護,呪われし矜持,228,3170,31,440,190,2640,乱気の守護,,風属性キャラの最大HP上昇(大),メイン武器として装備時、主人公のみ確率で被ダメージカット,風属性キャラの最大HP上昇(大),
宝剣アンダリス,土,剣,地裂の攻刃,賢者の加護,245,2940,36,400,210,2430,地裂の攻刃,,土属性キャラの攻撃力上昇(大),土属性キャラのダメージ上限上昇,土属性キャラの攻撃力上昇(大),
ダーインスレイブ,火,剣,紅蓮の攻刃,軍師の気構え,253,3010,33,445,216,2580,紅蓮の攻刃,,火属性キャラの攻撃力上昇(大),主人公のみ奥義ゲージ上昇量UP　LV15時効果量+10%確認（+1）、マスターボーナスと重複する,火属性キャラの攻撃力上昇(大),
緋紋の絢斧,火,斧,紅蓮の攻刃,暁の結界,222,3090,30,450,190,2650,紅蓮の攻刃,,火属性キャラの攻撃力上昇(大),ターン開始時、主人公のみ確率で自分の弱体効果を1つ回復,火属性キャラの攻撃力上昇(大),
封鍵クラウストルム,光,杖,天光の攻刃,精霊の庇護,342,2560,49,365,293,2195,天光の攻刃,,光属性キャラの攻撃力上昇(大),光属性キャラの闇属性ダメージ軽減(Lv1:1%、Lv15:15%),光属性キャラの攻撃力上昇(大),
ウロボロス,土,杖,地裂の攻刃,創られし従僕,337,2520,49,355,289,2155,地裂の攻刃,,土属性キャラの攻撃力上昇(大),主人公のみダブルアタック確率上昇(特大),土属性キャラの攻撃力上昇(大),
輝剣クラウ・ソラス,水,剣,霧氷の守護,聖騎士の誇り,259,2980,39,415,222,2550,霧氷の守護,,水属性キャラの最大HP上昇(大),水属性キャラの防御UP,水属性キャラの最大HP上昇(大),
イリュージョンセプター,火,杖,紅蓮の攻刃,魔女の真髄,334,2530,46,370,286,2170,紅蓮の攻刃,,火属性キャラの攻撃力上昇(大),火属性キャラのアビリティダメージ上限上昇,火属性キャラの攻撃力上昇(大),
フロッティ,光,剣,天光の守護,貴顕の防衛策,257,2990,37,425,220,2560,天光の守護,,光属性キャラの最大HP上昇(大),バトルの最初のターン開始時、光属性キャラに弱体効果無効効果(1回),光属性キャラの最大HP上昇(大),
エーテリアルボウ,風,弓,乱気の攻刃,艶美の術数,271,2980,38,430,232,2555,乱気の攻刃,,風属性キャラの攻撃力上昇(大),主人公のみ弱体成功率UP,風属性キャラの攻撃力上昇(大),
雷公刃ユピテル,光,短剣,天光の攻刃,大胆不敵,289,2890,41,415,248,2480,天光の攻刃,,光属性キャラの攻撃力上昇(大),HPが少ないほど攻撃力が上昇(小)　◆主人公のみ,光属性キャラの攻撃力上昇(大),
ガルガンチュア,土,槍,地裂の攻刃,未来の幻視,303,2680,44,380,260,2300,地裂の攻刃,,土属性キャラの攻撃力上昇(大),土属性キャラのアビリティダメージ上限上昇,土属性キャラの攻撃力上昇(大),
ヴァサーゴ,闇,斧,奈落の守護,奔放の稀人,222,3090,28,460,188,2660,奈落の守護,,闇属性キャラの最大HP上昇(大),トリプルアタック確率上昇(大)　◆主人公のみ,闇属性キャラの最大HP上昇(大),
ファラウェイ,風,銃,乱気の守護,深緑の装い,208,3160,29,455,179,2705,乱気の守護,,風属性キャラの最大HP上昇(大),弱体耐性UP　◆主人公のみ,風属性キャラの最大HP上昇(大),
ココ＆ミミ,闇,格闘,奈落の攻刃,凶獣の三爪,286,2770,38,410,245,2380,奈落の攻刃,,闇属性キャラの攻撃力上昇(大),トリプルアタック確率上昇(大)　◆主人公のみ,闇属性キャラの攻撃力上昇(大),
霧氷剣ペルソス,水,短剣,霧氷の攻刃,忠義の瞬刃,282,2790,42,390,242,2390,霧氷の攻刃,,水属性キャラの攻撃力上昇(大),ダブルアタック確率上昇(特大)　◆主人公のみ,水属性キャラの攻撃力上昇(大),
ミストルテイン,闇,剣,血啜りの一閃,紅蓮の守護,244,2980,32,440,212,2540,奈落の攻刃,紅蓮の守護,闇属性キャラの攻撃力上昇(大)　メイン装備時に主人公のみ被ダメージ時に確率でカウンター◆攻撃力上昇効果は「奈落の攻刃」として扱う,火属性キャラの最大HP上昇(大),闇属性キャラの攻撃力上昇(大),火属性キャラの最大HP上昇(大)
ブリューナク,火,槍,業火の攻刃,貫きの牙,298,2710,41,395,257,2315,業火の攻刃,業火の守護,火属性キャラの攻撃力上昇(中),火属性キャラの最大HP上昇(中)　メイン装備時に主人公のみ弱点を突いた時、クリティカル率上昇(中)◆HP上昇効果は「業火の守護」として扱う,火属性キャラの攻撃力上昇(中),火属性キャラの最大HP上昇(中)
カラドボルグ,光,剣,聖女の行進,地裂の守護,260,3030,37,435,224,2600,天光の攻刃,地裂の守護,光属性キャラの攻撃力上昇(大)/メイン装備時に主人公だけ再生効果◆攻撃力上昇効果は「天光の攻刃」として扱う」,土属性キャラの最大HP上昇(大),光属性キャラの攻撃力上昇(大),土属性キャラの最大HP上昇(大)
砂城の宮樂弦,土,楽器,優しい世界,天光の守護,365,2590,72,365,244,2215,地裂の守護,天光の守護,土属性キャラの最大HP上昇(大)/土属性キャラの回復上限上昇(中)◆地裂の守護/大地の治癒 として扱う,光属性キャラの最大HP上昇(大),土属性キャラの最大HP上昇(大),光属性キャラの最大HP上昇(大)
アスカロン,土,剣,竜穿の一撃,霧氷の攻刃,250,2940,37,415,217,2515,地裂の攻刃,霧氷の攻刃,土属性キャラの攻撃力上昇(大)メイン装備時に主人公のみダブルアタック確率上昇◆攻撃力上昇効果は「地裂の攻刃」として扱う,水属性キャラの攻撃力上昇(大),土属性キャラの攻撃力上昇(大),水属性キャラの攻撃力上昇(大)
グランテピエ,風,槍,跳姫の妙技,天光の守護,300,2690,42,390,258,2310,乱気の守護,天光の守護,風属性キャラの最大HP上昇(大)風属性キャラの弱体成功率UP◆HP上昇効果は「乱気の守護」として扱う,光属性キャラの最大HP上昇(大),風属性キャラの最大HP上昇(大),光属性キャラの最大HP上昇(大)
ラスト・シン,闇,剣,狂恋の抱擁,霧氷の攻刃,250,3010,33,445,216,2580,奈落の攻刃,霧氷の攻刃,闇属性キャラの攻撃力上昇(大)/主人公のみトリプルアタック確率上昇◆攻撃力上昇効果は「奈落の攻刃」として扱う,水属性キャラの攻撃力上昇(大),闇属性キャラの攻撃力上昇(大),水属性キャラの攻撃力上昇(大)
緋舞扇,水,格闘,舞姫の演武,紅蓮の守護,290,2730,44,380,252,2340,霧氷の攻刃,紅蓮の守護,水属性キャラの攻撃力上昇(大)/水属性キャラのダメージ上限上昇◆攻撃力上昇効果は「霧氷の攻刃」として扱う,火属性キャラの最大HP上昇(大),水属性キャラの攻撃力上昇(大),火属性キャラの最大HP上昇(大)
オートクレール,光,剣,雷迅卿の剣技,紅蓮の攻刃,226,3080,38,440,0,2640,天光の守護,紅蓮の攻刃,光属性キャラの最大HP上昇(大)　メイン装備時に主人公のみ連続攻撃確率上昇◆最大HP上昇効果は「天光の守護」として扱う,火属性キャラの攻撃力上昇(大),光属性キャラの最大HP上昇(大),火属性キャラの攻撃力上昇(大)
メビウス,火,楽器,未完の錬金術,地裂の攻刃,280,2600,69,380,241,2230,紅蓮の攻刃,地裂の攻刃,火属性キャラの攻撃力上昇(大)　メイン装備時に主人公のみモードゲージ減少量UP◆攻撃力上昇効果は「紅蓮の攻刃」として扱う,土属性キャラの攻撃力上昇(大),火属性キャラの攻撃力上昇(大),土属性キャラの攻撃力上昇(大)
ヘヴンズクラウド,風,短剣,天を統べる強風,天光の守護,279,2800,39,405,239,2405,乱気の攻刃,天光の守護,風属性キャラクターの攻撃力上昇(大)/風属性キャラのアビリティダメージ上限UP◆攻撃力上昇効果は「乱気の攻刃」として扱う,光属性キャラの最大HP上昇(大),風属性キャラの攻撃力上昇(大),光属性キャラの最大HP上昇(大)
カーラウロプス,闇,杖,禁忌の悲恋,地裂の攻刃,333,2530,44,380,284,2180,奈落の攻刃,地裂の攻刃,闇属性キャラクターの攻撃力上昇(大)/闇属性キャラの光属性ダメージ軽減◆攻撃力上昇効果は「奈落の攻刃」として扱う,土属性キャラの攻撃力上昇(大),闇属性キャラの攻撃力上昇(大),土属性キャラの攻撃力上昇(大)
ローエングリン,火,剣,尽忠炎帝,先制の炎壁,260,3050,35,444,221,2615,紅蓮の攻刃,先制の炎壁,火属性キャラの攻撃力上昇(大)　メイン装備時に敵が恐怖状態の時、主人公のみ通常攻撃に火属性追撃効果,バトル開始時から8ターンの間火属性キャラの防御力上昇,火属性キャラの攻撃力上昇(大),バトル開始時から8ターンの間火属性キャラの防御力上昇
ヴリスラグナ,水,銃,狙撃の極意,天光の攻刃,210,3140,32,440,182,2690,霧氷の攻刃,天光の攻刃,水属性キャラの攻撃力上昇(大)/メイン装備時に主人公のみ奥義ダメージ上限10%UP◆攻撃力上昇効果は「霧氷の攻刃」として扱う,光属性キャラの攻撃力上昇(大),水属性キャラの攻撃力上昇(大),光属性キャラの攻撃力上昇(大)
シャドウサーペント,闇,槍,憎悪の刹那,叛逆の烽火,290,2720,35,422,250,2335,憎悪の刹那,,闇属性キャラの攻撃力上昇(中)/弱点を突いた時クリティカル確率上昇(中),暗闇状態の敵に対して、ダブルアタック確率UP　◆メイン装備時/主人公のみ,闇属性キャラの攻撃力上昇(中)/弱点を突いた時クリティカル確率上昇(中),
ドラゴンスレイヤー,風,刀,英雄たる証明,天光の攻刃,220,3180,32,460,191,2725,乱気の攻刃,天光の攻刃,風属性キャラの攻撃力上昇(大)　メイン装備時、風属性キャラの奥義ダメージUP◆攻撃力上昇効果は「乱気の攻刃」として扱う,光属性キャラの攻撃力上昇(大),風属性キャラの攻撃力上昇(大),光属性キャラの攻撃力上昇(大)
梵天添甲,火,格闘,古今無双の烈拳,先制の炎刃,300,2840,41,415,256,2440,紅蓮の攻刃,先制の炎刃,火属性キャラの攻撃力上昇(大)メイン装備時に得意武器が「格闘」のキャラのダブルアタック確率UP◆攻撃力上昇効果は「紅蓮の攻刃」として扱う,バトル開始時から8ターンの間火属性キャラの攻撃力上昇,火属性キャラの攻撃力上昇(大),バトル開始時から8ターンの間火属性キャラの攻撃力上昇
セイントスタークラッカー,光,銃,雷電の刹那,トレジャートリック,210,3160,29,456,177,2707,雷電の刹那,,光属性キャラの攻撃力上昇(中)/弱点を突いた時クリティカル確率上昇(中),敵のトレハンLvに応じてダブルアタック確率UP　◆メイン装備時/主人公のみ,光属性キャラの攻撃力上昇(中)/弱点を突いた時クリティカル確率上昇(中),
タンザナイトブレイド,火,刀,業火の刹那,シャル・ウイ・デュエル,210,3130,30,455,184,2685,業火の刹那,,火属性キャラの攻撃力上昇(中)/弱点を突いた時クリティカル確率上昇(中),HPが高い程奥義ダメージUP　◆メイン装備時/主人公のみ,火属性キャラの攻撃力上昇(中)/弱点を突いた時クリティカル確率上昇(中),
神授のリラ,風,楽器,神秘の前奏曲,紅蓮の攻刃,276,2595,70,375,242,2225,乱気の攻刃,紅蓮の攻刃,風属性キャラクターの攻撃力上昇(大)/メイン装備時味方全体の弱体成功率UP◆攻撃力上昇効果は「乱気の攻刃」として扱う,火属性キャラの攻撃力上昇(大),風属性キャラの攻撃力上昇(大),火属性キャラの攻撃力上昇(大)
ルーン,火,槍,貴顕の舞闘,火の背水,310,2730,42,400,262,2350,紅蓮の技巧,火の背水,火属性キャラのクリティカル確率上昇(大)/メイン装備時に主人公のみオーバードライブ状態の敵に連続攻撃確率UP(特大)◆クリティカル確率上昇は「紅蓮の技巧」として扱う,火属性キャラのHPが少ないほど攻撃力が上昇(小),火属性攻撃で弱点を突いた時、クリティカル確率上昇(大),火属性キャラのHPが少ないほど攻撃力が上昇(小)
オルレアン・フラッグ,風,槍,乱気の守護,神託の御旗,350,2430,52,368,297,2101,乱気の守護,,風属性キャラの最大HP上昇(大),風属性キャラのダメージ上限上昇,風属性キャラの最大HP上昇(大),
ヒロイックボウ,光,弓,天光の攻刃,ゼロ・トゥ・ヒーロー,260,2940,35,435,224,2525,天光の攻刃,乱気の攻刃,光属性キャラの攻撃力上昇(大),風属性キャラの攻撃力上昇(大)/得意武器が「弓」のキャラのトリプルアタック確率UP◆攻撃力上昇効果は「乱気の攻刃」として扱う,光属性キャラの攻撃力上昇(大),風属性キャラの攻撃力上昇(大)
丙子椒林剣,土,刀,胡蝶の剣舞,乱気の攻刃,220,3100,33,440,189,2660,地裂の攻刃,乱気の攻刃,土属性キャラの攻撃力上昇(大)/メイン装備時に主人公のみ奥義ゲージ上昇量UP(Lv15:15%)◆攻撃力上昇効果は「地裂の攻刃」として扱う,風属性キャラの攻撃力上昇(大),土属性キャラの攻撃力上昇(大),風属性キャラの攻撃力上昇(大)
不動国行,闇,刀,変幻自在の剣技,霧氷の攻刃,220,3200,29,475,188,2740,奈落の攻刃,霧氷の攻刃,闇属性キャラの攻撃力上昇(大)/メイン装備時に闇属性キャラのアビリティダメージUP/アビリティダメージ上限UP◆攻撃力上昇効果は「奈落の攻刃」として扱う,水属性キャラの攻撃力上昇(大),闇属性キャラの攻撃力上昇(大),水属性キャラの攻撃力上昇(大)
龍虎双滅拳,土,格闘,大地の無双,老境の流儀,320,2600,46,366,270,2239,0,0.0,土属性キャラの攻撃力上昇(中)/ダブルアタック確率上昇(中),自分の残りHPが半分より多い時、敵対心UP/半分以下の時、防御力UP　◆メイン装備時/主人公のみ,,
マスターキー,闇,斧,奈落の攻刃,闇夜の訪問者,0,0,22,470,144,2830,0,0.0,闇属性キャラの攻撃力上昇(大),敵の数が少ないほど自分の攻撃力UP　◆メイン装備時/主人公のみ,,
ストラトゥムバンカー,土,銃,地裂の背水,土の攻刃,211,3260,31,445,181,2695,0,0.0,土属性キャラのHPが少ないほど攻撃力が上昇(大),土属性キャラの攻撃力上昇(小),,
メロディックスフィア,水,楽器,霧氷の守護,天光の守護,284,2720,74,365,249,2245,0,0.0,水属性キャラの最大HP上昇(大),光属性キャラの最大HP上昇(大),,
トーニーローズ,土,短剣,地裂の攻刃,先制の岩壁,282,2775,42,390,240,2385,0,0.0,土属性キャラの攻撃力上昇(大),バトル開始時から8ターンの間土属性キャラの防御力上昇,,
ドラグホーン,水,槍,霧氷の攻刃,逆鱗の槍術,270,2860,34,397,227,2450,0,0.0,水属性キャラの攻撃力上昇(大),トリプルアタック発動時に攻撃力UP(累積)◆メイン装備時/主人公のみ,,
グラム,闇,剣,奈落の背水,闇の克己,455,3060,33,455,219,2625,奈落の背水,闇の二手,闇属性キャラのHPが少ないほど攻撃力が上昇(大),闇属性キャラのダブルアタック確率上昇(小)/クリティカル確率上昇(小),闇属性キャラのHPが少ないほど攻撃力が上昇(大),闇属性キャラのダブルアタック確率上昇(小)
アラクネ,闇,銃,奈落の攻刃,ファム・ファタール,200,3200,24,479,169,2741,0,0.0,闇属性キャラの攻撃力上昇(大),通常攻撃時に確率で敵の防御DOWN(累積)◆メイン装備時/主人公のみ,,
ピンク・エーテリアル,火,弓,業火の攻刃,魔導の熟達者,280,3090,37,435,231,2560,業火の攻刃,業火の二手,火属性キャラの攻撃力上昇(中),火属性キャラのダブルアタック確率上昇(中)/火属性キャラのアビリティダメージ上限UP◆ダブルアタック確率上昇効果は「業火の二手」として扱う,火属性キャラの攻撃力上昇(中),火属性キャラのダブルアタック確率上昇(中)
オーラフラジェルム,光,剣,雷電の無双,雷電の守護,280,3250,38,450,230,2690,雷電の攻刃,雷電の守護,光属性キャラの攻撃力上昇(中)/ダブルアタック確率上昇(中),光属性キャラの最大HP上昇(中),光属性キャラの攻撃力上昇(中),光属性キャラの最大HP上昇(中)
ディスタント・レクイエム,闇,楽器,憎悪の刹那,憎悪の治癒,0,0,66,389,238,2233,0,0.0,闇属性キャラの攻撃力上昇(中)/弱点を突いた時クリティカル確率上昇(中),闇属性キャラの回復上限上昇(中),,
アルセーヌ,土,短剣,地裂の攻刃,大地の技巧,0,0,42,400,245,2435,地裂の攻刃,土の技巧,土属性キャラの攻撃力上昇(大),土属性攻撃で弱点を突いた時、クリティカル確率上昇(中),土属性キャラの攻撃力上昇(大),
リング・オブ・サン,火,杖,紅蓮の背水,日輪の御導き,0,0,47,375,291,2205,紅蓮の背水,火の治癒,火属性キャラのHPが少ないほど攻撃力が上昇(大),火属性キャラの回復上限上昇(小)/メイン装備時に主人公のみフィールド効果「フレア」発生時にダブルアタック確率UP　◆回復上限上昇効果は「火の治癒」として扱う,火属性キャラのHPが少ないほど攻撃力が上昇(大),火属性キャラの回復上限上昇(小)
レヴィオンシューター,光,弓,天光の三手,三矢一体,0,0,40,410,255,2400,0,0.0,光属性キャラの連続攻撃確率上昇(大),トリプルアタック発動時に自分に与ダメージ上昇効果(累積/最大3回)◆メイン装備時/主人公のみ,,
ガンドリン,闇,短剣,奈落の攻刃,イクシード・ダーク,0,0,40,400,250,2360,0,0.0,闇属性キャラの攻撃力上昇(大),闇属性キャラの奥義ダメージ上限上昇,,
ソードコーン,光,弓,天光の攻刃,ゴールデン・アーツ,0,0,26,469,180,2687,0,0.0,光属性キャラの攻撃力上昇(大),光属性キャラのアビリティダメージ上限UP,,
デュランダル,水,剣,霧氷の攻刃II,渦潮の技巧,263,3035,38,410,218,2510,霧氷の攻刃,,水属性キャラの攻撃力上昇(大),水属性攻撃で弱点を突いた時、クリティカル確率上昇(中),水属性キャラの攻撃力上昇(大),
エウリュトスボウ,火,弓,紅蓮の攻刃II,業火の二手,275,3040,36,430,227,2520,紅蓮の攻刃,,火属性キャラの攻撃力上昇(大),火属性キャラのダブルアタック確率上昇(中),火属性キャラの攻撃力上昇(大),
グラッドアイ,火,銃,紅蓮の攻刃II,業火の二手,218,3260,28,460,180,2700,紅蓮の攻刃,,火属性キャラの攻撃力上昇(大),火属性キャラのダブルアタック確率上昇(中),火属性キャラの攻撃力上昇(大),
ガストラフェテス,土,銃,地裂の攻刃II,大地の見切,226,3370,32,460,187,2785,地裂の攻刃,,土属性キャラの攻撃力上昇(大),土属性キャラ属性キャラが稀に回避カウンター(ダメージ中),土属性キャラの攻撃力上昇(大),
アッキヌフォート,土,弓,地裂の攻刃II,大地の技巧,278,3030,39,415,230,2505,地裂の攻刃,,土属性キャラの攻撃力上昇(大),土属性攻撃で弱点を突いた時、クリティカル確率上昇(中),土属性キャラの攻撃力上昇(大),
シェキナーの弓,風,弓,乱気の攻刃II,竜巻の見切,276,3040,37,425,228,2515,乱気の攻刃,,風属性キャラの攻撃力上昇(大),風属性キャラ属性キャラが稀に回避カウンター(ダメージ中),風属性キャラの攻撃力上昇(大),
ジュワユース,風,剣,乱気の攻刃II,竜巻の二手,264,3090,35,430,218,2560,乱気の攻刃,,風属性キャラの攻撃力上昇(大),風属性キャラのダブルアタック確率上昇(中),風属性キャラの攻撃力上昇(大),
ベガルタ,闇,短剣,奈落の攻刃II,憎悪の二手,256,3070,36,420,212,2540,奈落の攻刃,,,闇属性キャラのダブルアタック確率上昇(中),闇属性キャラの攻撃力上昇(大),
グラーシーザー,闇,槍,奈落の攻刃II,憎悪の背水,309,2810,39,404,255,2325,奈落の攻刃,,,闇属性キャラのHPが少ないほど攻撃力が上昇(中),闇属性キャラの攻撃力上昇(大),
阿修羅,火,刀,紅蓮の攻刃II,霧氷の攻刃II,225,3230,30,455,186,2675,紅蓮の攻刃,霧氷の攻刃,火属性キャラの攻撃力上昇(大),水属性キャラの攻撃力上昇(大),火属性キャラの攻撃力上昇(大),水属性キャラの攻撃力上昇(大)
薄緑,風,刀,乱気の攻刃II,竜巻の守護,226,3240,31,450,187,2680,竜巻の攻刃,竜巻の守護,風属性キャラの攻撃力上昇(大),風属性キャラの最大HP上昇(中),風属性キャラの攻撃力上昇(中),風属性キャラの最大HP上昇(中)
アスクレピオスの杖,光,杖,癒しの力II,天光の治癒,348,2610,47,365,288,2160,癒しの力,,回復タイプの回復効果上昇(),光属性キャラの回復上限上昇(大),回復タイプの回復効果上昇(小),
獅子王戦拳,光,格闘,天光の攻刃II,雷電の見切,302,2840,47,390,250,2350,天光の攻刃,,光属性キャラの攻撃力上昇(大),光属性キャラ属性キャラが稀に回避カウンター(ダメージ中),光属性キャラの攻撃力上昇(大),
パラシュ,土,斧,地裂の守護II,大地の攻刃,237,3240,34,440,196,2680,地裂の守護,,土属性キャラの最大HP上昇(大),土属性キャラの攻撃力上昇(中),土属性キャラの最大HP上昇(大),
クリムゾンフィンガー,火,格闘,紅蓮の攻刃II,業火の背水,300,2850,40,400,248,2360,紅蓮の攻刃,,火属性キャラの攻撃力上昇(大),火属性キャラのHPが少ないほど攻撃力が上昇(中),火属性キャラの攻撃力上昇(大),
虹の弓,水,弓,霧氷の守護II,渦潮の攻刃,279,3020,40,410,231,2500,霧氷の守護,,水属性キャラの最大HP上昇(大),水属性キャラの攻撃力上昇(中),水属性キャラの最大HP上昇(大),
鬼丸国綱,水,刀,霧氷の攻刃II,渦潮の守護,229,3210,34,435,190,2655,渦潮の攻刃,渦潮の守護,水属性キャラの攻撃力上昇(大),水属性キャラの最大HP上昇(中),水属性キャラの攻撃力上昇(中),水属性キャラの最大HP上昇(中)
スラーンド,水,斧,霧氷の攻刃II,渦潮の二手,234,3180,34,430,194,2630,霧氷の攻刃,,水属性キャラの攻撃力上昇(大),水属性キャラのダブルアタック確率上昇(中),水属性キャラの攻撃力上昇(大),
カルンウェナン,土,短剣,地裂の守護II,大地の攻刃,290,2900,41,395,240,2400,地裂の守護,,土属性キャラの最大HP上昇(大),土属性キャラの攻撃力上昇(中),土属性キャラの最大HP上昇(大),
ゲイアサイル,風,槍,乱気の攻刃,竜巻の背水,314,2780,31,442,0,0,0,0.0,風属性キャラの攻撃力上昇(大),風属性キャラのHPが少ないほど攻撃力が上昇(中),,
朱雀光剣,火,刀,紅蓮の攻刃II,0,175,2530,22,345,145,2090,紅蓮の攻刃,,火属性キャラの攻撃力上昇(大),,火属性キャラの攻撃力上昇(大),
玄武甲槌,水,斧,霧氷の攻刃II,0,180,2480,26,320,151,2045,霧氷の攻刃,,水属性キャラの攻撃力上昇(大),,水属性キャラの攻撃力上昇(大),
青竜牙矛,風,槍,乱気の攻刃II,0,240,2180,31,295,201,1800,乱気の攻刃,,風属性キャラの攻撃力上昇(大),,風属性キャラの攻撃力上昇(大),
白虎咆拳,土,格闘,地裂の攻刃II,0,236,2210,32,290,195,1825,地裂の攻刃,,土属性キャラの攻撃力上昇(大),,土属性キャラの攻撃力上昇(大),
青竜髭刃,風,剣,乱気の疾駆・壱,乱気の攻刃,200,2290,26,320,167,1965,乱気の疾駆・壱,,1番目に配置された風属性キャラのトリプルアタック確率UP(大)/攻撃力15%減少(武器スキル合計から-15%),風属性キャラの攻撃力上昇(大),1番目に配置された風属性キャラのトリプルアタック確率UP(大)/攻撃力15%減少(武器スキル合計から-15%),
白虎牙杖,土,杖,地裂の煽惑・参,地裂の攻刃,260,1960,37,265,225,1675,地裂の煽惑・参,,3番目に配置された土属性キャラの奥義ダメージUP/敵対心UP,土属性キャラの攻撃力上昇(大),3番目に配置された土属性キャラの奥義ダメージUP/敵対心UP,
