name,attribute,species,f_skill,s_skill,maxhp2,maxatk2
ヴァサーゴ,闇,斧,奈落の守護,奔放の稀人,222,3090
ファラウェイ,風,銃,乱気の守護,深緑の装い,208,3160
ココ＆ミミ,闇,格闘,奈落の攻刃,凶獣の三爪,286,2770
霧氷剣ペルソス,水,短剣,霧氷の攻刃,忠義の瞬刃,282,2790
ミストルテイン,闇,剣,血啜りの一閃,紅蓮の守護,244,2980
ブリューナク,火,槍,業火の攻刃,貫きの牙,298,2710
カラドボルグ,光,剣,聖女の行進,地裂の守護,260,3030
砂城の宮樂弦,土,楽器,優しい世界,天光の守護,365,2590
アスカロン,土,剣,竜穿の一撃,霧氷の攻刃,250,2940
グランテピエ,風,槍,跳姫の妙技,天光の守護,300,2690
ラスト・シン,闇,剣,狂恋の抱擁,霧氷の攻刃,250,3010
緋舞扇,水,格闘,舞姫の演武,紅蓮の守護,290,2730
オートクレール,光,剣,雷迅卿の剣技,紅蓮の攻刃,226,3080
メビウス,火,楽器,未完の錬金術,地裂の攻刃,280,2600
ヘヴンズクラウド,風,短剣,天を統べる強風,天光の守護,279,2800
カーラウロプス,闇,杖,禁忌の悲恋,地裂の攻刃,333,2530
ローエングリン,火,剣,尽忠炎帝,先制の炎壁,260,3050
ヴリスラグナ,水,銃,狙撃の極意,天光の攻刃,210,3140
シャドウサーペント,闇,槍,憎悪の刹那,叛逆の烽火,290,2720
ドラゴンスレイヤー,風,刀,英雄たる証明,天光の攻刃,220,3180
梵天添甲,火,格闘,古今無双の烈拳,先制の炎刃,300,2840
セイントスタークラッカー,光,銃,雷電の刹那,トレジャートリック,210,3160
タンザナイトブレイド,火,刀,業火の刹那,シャル・ウイ・デュエル,210,3130
神授のリラ,風,楽器,神秘の前奏曲,紅蓮の攻刃,276,2595
ルーン,火,槍,貴顕の舞闘,火の背水,310,2730
オルレアン・フラッグ,風,槍,乱気の守護,神託の御旗,350,2430
ヒロイックボウ,光,弓,天光の攻刃,ゼロ・トゥ・ヒーロー,260,2940
丙子椒林剣,土,刀,胡蝶の剣舞,乱気の攻刃,220,3100
不動国行,闇,刀,変幻自在の剣技,霧氷の攻刃,220,3200
龍虎双滅拳,土,格闘,大地の無双,老境の流儀,320,2600
マスターキー,闇,斧,奈落の攻刃,闇夜の訪問者,???,????
ストラトゥムバンカー,土,銃,地裂の背水,土の攻刃,211,3260
メロディックスフィア,水,楽器,霧氷の守護,天光の守護,284,2720
トーニーローズ,土,短剣,地裂の攻刃,先制の岩壁,282,2775
ドラグホーン,水,槍,霧氷の攻刃,逆鱗の槍術,270,2860
グラム,闇,剣,奈落の背水,闇の克己,455,3060
アラクネ,闇,銃,奈落の攻刃,ファム・ファタール,200,3200
ピンク・エーテリアル,火,弓,業火の攻刃,魔導の熟達者,280,3090
オーラフラジェルム,光,剣,雷電の無双,雷電の守護,280,3250
ディスタント・レクイエム,闇,楽器,憎悪の刹那,憎悪の治癒,,
アルセーヌ,土,短剣,地裂の攻刃,大地の技巧,,
リング・オブ・サン,火,杖,紅蓮の背水,日輪の御導き,,
レヴィオンシューター,光,弓,天光の三手,三矢一体,,
ガンドリン,闇,短剣,奈落の攻刃,イクシード・ダーク,,
ソードコーン,光,弓,天光の攻刃,ゴールデン・アーツ,,
デュランダル,水,剣,霧氷の攻刃II,渦潮の技巧,263,3035
エウリュトスボウ,火,弓,紅蓮の攻刃II,業火の二手,275,3040
グラッドアイ,火,銃,紅蓮の攻刃II,業火の二手,218,3260
ガストラフェテス,土,銃,地裂の攻刃II,大地の見切,226,3370
アッキヌフォート,土,弓,地裂の攻刃II,大地の技巧,278,3030
シェキナーの弓,風,弓,乱気の攻刃II,竜巻の見切,276,3040
ジュワユース,風,剣,乱気の攻刃II,竜巻の二手,264,3090
ベガルタ,闇,短剣,奈落の攻刃II,憎悪の二手,256,3070
グラーシーザー,闇,槍,奈落の攻刃II,憎悪の背水,309,2810
阿修羅,火,刀,紅蓮の攻刃II,霧氷の攻刃II,225,3230
薄緑,風,刀,乱気の攻刃II,竜巻の守護,226,3240
アスクレピオスの杖,光,杖,癒しの力II,天光の治癒,348,2610
獅子王戦拳,光,格闘,天光の攻刃II,雷電の見切,302,2840
パラシュ,土,斧,地裂の守護II,大地の攻刃,237,3240
クリムゾンフィンガー,火,格闘,紅蓮の攻刃II,業火の背水,300,2850
虹の弓,水,弓,霧氷の守護II,渦潮の攻刃,279,3020
鬼丸国綱,水,刀,霧氷の攻刃II,渦潮の守護,229,3210
スラーンド,水,斧,霧氷の攻刃II,渦潮の二手,234,3180
カルンウェナン,土,短剣,地裂の守護II,大地の攻刃,290,2900
ゲイアサイル,風,槍,乱気の攻刃,竜巻の背水,314,2780
朱雀光剣,火,刀,紅蓮の攻刃II,,175,2530
玄武甲槌,水,斧,霧氷の攻刃II,,180,2480
青竜牙矛,風,槍,乱気の攻刃II,,240,2180
白虎咆拳,土,格闘,地裂の攻刃II,,236,2210
青竜髭刃,風,剣,乱気の疾駆・壱,乱気の攻刃,200,2290
白虎牙杖,土,杖,地裂の煽惑・参,地裂の攻刃,260,1960
玄武殻拳,水,格闘,霧氷の追牙・肆,霧氷の攻刃,230,2130
朱雀翼弦,火,楽器,紅蓮の呪印・弐,紅蓮の攻刃,220,2020
バルムンク,火,剣,紅蓮の守護,火の背水,200,2380
イフリートハルベルト,火,槍,紅蓮の攻刃,火の技巧,241,2170
サジタリウスボウ,風,弓,乱気の守護,風の攻刃,214,2358
紅陽扇,光,格闘,天光の守護,光の攻刃,234,2210
ウェルギリウス,水,槍,霧氷の守護,水の攻刃,239,2170
裁きの鳴雷,土,銃,地裂の攻刃,土の守護,169,2530
ディアボロスボウ,闇,弓,奈落の守護,闇の攻刃,218,2450
ヘルウォードダガー,闇,短剣,奈落の攻刃,闇の二手,221,2275
グレイプニル,水,斧,霧氷の二手,水の攻刃,182,2465
ケルベロス・オーダー,闇,銃,奈落の三手,闇の背水,167,2585
フィンブル,水,弓,霧氷の渾身,水の守護,220,2370
ウシュムガル,火,剣,ブレイズオブアームズ,スカーレット・アーツ,230,2760
ヴィントホーゼ,風,剣,ゲイルオブアームズ,チェインフォース,230,2750
ブラックアックス,火,斧,アンノウン・ATK II,,175,2490
アンノウンワンド,風,杖,アンノウン・VIT II,,281,1970
マルメテル・ハンマー,土,斧,アンノウン・ATK II,,174,2495
秘丹弥虚羅多包丁,水,短剣,アンノウン・ATK II,,227,2240
桃色の団扇,風,格闘,アンノウン・ATK II,,231,2215
三日月宗近,光,刀,天下五剣,三条宗近の作,176,2501
鶴丸国永,水,刀,利無動,五条国永の作,178,2491
和泉守兼定,火,刀,土方の愛刀,兼定の作,117,1706
山姥切国広,土,刀,国広第一の傑作,堀川国広の作,120,1691
陸奥守吉行,風,刀,龍馬の愛刀,陸奥守吉行の作,118,1701
骨喰藤四郎,闇,刀,足利宝剣,粟田口吉光の作,115,1716
封印の杖,闇,杖,闇の力を秘めし鍵,私だけの笑顔の魔法,270,2100
スナップブレード,風,剣,肉削ぐ撓刃,立体機動戦術,158,2566
白銀の弓,風,弓,森林の祝福,森の民の知恵,211,2365
ルナのおともだち,闇,杖,おともだちになってくれる？,魂の共鳴,231,2073
キック力増強シューズ,光,格闘,阿笠博士の発明品,必殺武器,230,2190
小型自動拳銃,風,銃,ウィーバースタンス,サイドアーム,160,2540
万魔の銃,闇,銃,ザ・ファントム,トリックスター,170,2640
サンシャインブレード,水,短剣,サンシャイナー,輝きの道しるべ,230,2310
スクールバッグ,火,斧,スクールフレンズ,輝きを目指して,190,2580
レインボーブレス,光,格闘,プリズムストーンの力,虹色の光,240,2270
アイスクレイモア,水,剣,フローズン・ブレード,氷妖精の魔力,208,2448
司法神の錫杖,光,杖,ジャスティス・ロッド,授かりし託宣,280,2070
ブラフマンガントレ,火,格闘,機炎方陣・拳武,機炎方陣・見切,270,2550
ブラフマンシミター,火,剣,機炎方陣・無双,機炎方陣・守護,230,2730
ブラフマントライデント,火,槍,機炎方陣・攻刃,機炎方陣・破壊,280,2500
テュロスワンド,水,杖,海神方陣・杖術,イクシード・ウォータ,310,2320
テュロスボウ,水,弓,海神方陣・乱舞,,250,2700
テュロスビネット,水,楽器,海神方陣・攻刃,海神方陣・必殺,260,2390
ニーベルン・メッサー,土,短剣,創樹方陣・背水,イクシード・アース,260,2590
ニーベルン・ホルン,土,斧,創樹方陣・渾身,創樹方陣・技巧,210,2850
ニーベルン・クリンゲ,土,刀,創樹方陣・攻刃II,創樹方陣・不可侵,200,2890
ラストストームブレイド,風,刀,嵐竜方陣・軍神,嵐竜方陣・星晶,200,2900
ラストストームハープ,風,楽器,嵐竜方陣・渾身,嵐竜方陣・技巧II,260,2400
ラストストームランス,風,槍,嵐竜方陣・攻刃,嵐竜方陣・暴風,280,2490
ミトロンの籠手,光,格闘,騎解方陣・見切,先制の白の結界,270,2540
ミトロンの宝剣,光,短剣,騎解方陣・刹那,騎解方陣・背水,260,2590
ミトロンの弓,光,弓,騎解方陣・渾身,騎解方陣・意志,250,2710
アビスストライカー,闇,斧,黒霧方陣・背水,黒霧方陣・括目,200,2870
アビスルック,闇,銃,黒霧方陣・攻刃,黒霧方陣・克己,190,2940
アビススパイン,闇,杖,黒霧方陣・神威II,黒霧方陣・必殺,310,2350
スコフニュング,−,剣,不屈なる忠義救世の聖剣,,244,2810
アシュケロン,−,剣,征伐の剣深紅の支配者,,240,2830
イペタム,−,短剣,混沌より出ずる暴食殺業の凶刃,,265,2710
ファウスト,−,短剣,森羅万象の理禁忌の錬成,,270,2680
ミセリコルデ,−,短剣,宵闇の住人奸凶の牙,,270,2690
ロムルスの槍,−,槍,深淵を照らす光明軍神の聖槍,,290,2580
アヴェンジャー,−,斧,剣聖の英魂覇王の恐惶,,213,2960
ニルヴァーナ,−,杖,悟りの境地輪廻転生,,322,2420
ケラウノス,−,杖,雷鳴の轟き天変地異,,265,2570
カピラヴァストゥ,−,杖,叡智の門葬られし言の葉,,320,2410
オリバー,−,銃,謀略と策謀の知恵一攫千金,,200,3030
ネブカドネザル,−,銃,繚乱の死神穢れなき手向け,,244,3260
鬼神の籠手,−,格闘,破壊を齎す強心強者の余裕,,277,2640
ローゼンボーゲン,−,弓,舞うは嵐の針山の如し戦場の災禍,,256,2810
ランゲレイク,−,楽器,失われし聖賢の譜享楽の遊宴,,266,2480
天叢雲剣,−,刀,天つ空なる明星の御霊大蛇の神刀,,211,3000
千子村正,−,刀,九字護身法冥暗の妖刀,,207,3020
エクスカリバー,-,剣,火 紅蓮の堅守水 霧氷の堅守土 地裂の堅守風 乱気の堅守光 天光の堅守闇 奈落の堅守,王道を征く者,,
ダマスカスナイフ,-,短剣,仄暗い稼業,引き際の心得,,
ゲイボルグ,-,槍,必勝の誓い,一刺一殺,,
ミョルニル,-,斧,火 紅蓮の攻刃水 霧氷の攻刃土 地裂の攻刃風 乱気の攻刃光 天光の攻刃闇 奈落の攻刃,戦神の打擲,,
カドゥケウス,-,杖,火 火の神威水 水の神威土 土の神威風 風の神威光 光の神威闇 闇の神威,窮地の救い手,,
フライクーゲル,-,銃,火 紅蓮の暴君水 霧氷の暴君土 地裂の暴君風 乱気の暴君光 天光の暴君闇 奈落の暴君,好機到来,,
方天画戟,-,格闘,剛技の代償,万物を砕く剛技,,
ヘラクレス,-,弓,火 業火の克己水 渦潮の克己土 大地の克己風 竜巻の克己光 雷電の克己闇 憎悪の克己,不死をも殺す神弓,,
ウルリクムミ,-,楽器,火 紅蓮の括目水 霧氷の括目土 地裂の括目風 乱気の括目光 天光の括目闇 奈落の括目,流行詩歌,,
天羽々斬,-,刀,火 業火の刹那水 渦潮の刹那土 大地の刹那風 竜巻の刹那光 雷電の刹那闇 憎悪の刹那,戮蛇の神刀,,
エリクトニオス,火,槍,紅蓮の暴君,紅蓮の三手,278,2500
パラスの剣,火,剣,紅蓮の攻刃,業火の守護,232,2734
シグルズの弓,水,弓,先制の氷刃,霧氷の攻刃,250,2701
ヴィルヘルム,水,格闘,霧氷の暴君,渦潮の技巧,273,2527
ソロモンドライブ,土,斧,地裂の攻刃,土の背水,209,2849
マイムールヴィジョン,土,銃,地裂の暴君,大地の克己,196,2913
インドラリム,風,弓,竜巻の刹那,乱気の堅守,,
スパルナフェザー,風,短剣,風の治癒,乱気の攻刃II,,
グングニル,光,槍,雷電の攻刃,雷電の克己,280,2490
スレイプニルシュー,光,楽器,雷電の背水,天光の堅守,,
ブラック・アンド・ダークネス,闇,杖,奈落の攻刃II,先制の黒の結界,307,2355
サンダー・オブ・ファントム,闇,銃,奈落の括目,憎悪の神威,,
ハツオイイルハル,風,短剣,イクシード・ウィンド,乱気の背水,270,2700
マジェスタス,闇,杖,憎悪の堅守,憎悪の神威,320,2440
虚空の裂剣,闇,剣,虚脱の隻翼,災禍の誓約,260,3140
虚空の楔槍,火,槍,虚栄の矛戟,不壊の誓約,320,2870
虚空の晶塊,土,斧,虚勢の巌,修羅の誓約,240,3270
虚空の拝腕,水,杖,虚飾の隻腕,凱歌の誓約,360,2660
虚空の歪弦,光,弓,虚像の鋒鏑,致命の誓約,280,3120
バハムートソード・フツルス,闇,剣,コンキリオ・イグニス,,240,2885
バハムートダガー・フツルス,闇,短剣,コンキリオ・ウェントス,,268,2750
バハムートスピア・フツルス,闇,槍,コンキリオ・コルヌ,,290,2640
バハムートアクス・フツルス,闇,斧,コンキリオ・テラ,,214,3015
バハムートスタッフ・フツルス,闇,杖,コンキリオ・インベル,,323,2475
バハムートマズル・フツルス,闇,銃,コンキリオ・アルボス,,200,3085
バハムートナックル・フツルス,闇,格闘,ヒュムアニムス・メンス,ヒュムアニムス・ビス,280,2690
バハムートボウ・フツルス,闇,弓,エルンアニムス・メンス,エルンアニムス・ビス,256,2870
バハムートハープ・フツルス,闇,楽器,ハヴンアニムス・メンス,ハヴンアニムス・ビス,264,2545
バハムートブレイド・フツルス,闇,刀,ドーラアニムス・メンス,ドーラアニムス・ビス,209,3060
ヘルムヴィーゲ,　,槍,雲水の賦性,雲水の資質,332,2950
ベルセルク・オクス,-,斧,狂戦士の賦性,狂戦士の資質,244,3380
聖者の行進,-,杖,聖者の賦性,聖者の資質,368,2770
デモンズシャフト,-,杖,魔人の賦性,魔神の資質,298,2940
浄瑠璃,-,銃,大盗の賦性,大盗の資質,229,3465
チャンピオンベルト,-,格闘,格闘王の賦性,格闘王の資質,317,3015
メース,-,弓,猟犬の賦性,猟犬の資質,293,3210
シャンゼリゼ,-,楽器,楽聖の賦性,楽聖の資質,299,2840
無銘金重,-,刀,剣豪の賦性,剣豪の資質,241,3435
テトラストリーマ,-,刀,四元の賦性,四元の資質,237,3455
マッドネスシリンジ,-,銃,医術の賦性,医術の資質,309,3065
真・道天浄土,光,剣,妃光の覇道,道天の眩耀,210,2739
ラスト・シャフレワル,土,剣,裁考の覇道,裁考天の啓示,232,2611
真・黄木天の箭,風,槍,人馬の覇道,黄木天の箭,271,2427
真・灼滅天の刃鎌,火,斧,灼滅の覇道,灼滅の赤爪,199,2795
真・氷逆天の戦棍,水,杖,氷逆の覇道,氷逆天の凍翼,303,2270
真・裁考天の鳴弦,土,楽器,裁考の覇道,裁考天の教理 ,250,2329
真・普天幻魔,闇,刀,幻魔の覇道,普天の怨鎖,193,2835
極マリシ烈火ノ太刀,火,刀,灼滅の覇道,灼滅天の憤怒,196,2825
